iter	RMSE
0	0.6791481573
1	0.6538298648
2	0.630607597
3	0.6094603606
4	0.5909074043
5	0.5744742622
6	0.5601821681
7	0.5475963127
8	0.5360546878
9	0.5252478783
10	0.5164778587
11	0.5084413088
12	0.501432905
13	0.4950474909
14	0.4895564433
15	0.4841176967
16	0.4795559469
17	0.4751656245
18	0.4715885144
19	0.4681249517
20	0.4650558902
21	0.4620978699
22	0.4596797193
23	0.4573451386
24	0.4553179899
25	0.4534679565
26	0.4516977746
27	0.4497630167
28	0.4481952982
29	0.4464263829
30	0.4448234501
31	0.4433542109
32	0.4419863486
33	0.4406609573
34	0.4394353756
35	0.438362039
36	0.4373628569
37	0.4363525763
38	0.435452838
39	0.434548395
40	0.4337990229
41	0.4330222417
42	0.4322277787
43	0.4314432248
44	0.4308215087
45	0.4301021018
46	0.4294548533
47	0.4287927594
48	0.428221875
49	0.4277197696
50	0.427230707
51	0.4266917226
52	0.4262036647
53	0.4256240058
54	0.4252316399
55	0.4246846414
56	0.4242452231
57	0.4237883989
58	0.4233795995
59	0.422992488
60	0.4224120168
61	0.4219651269
62	0.4214420925
63	0.421065528
64	0.4207514207
65	0.4204127426
66	0.4200598236
67	0.4197816128
68	0.4194708204
69	0.4192009112
70	0.4189059467
71	0.4185438762
72	0.418308326
73	0.4180349477
74	0.4177656367
75	0.4175083792
76	0.4171440916
77	0.4168687417
78	0.4166056395
79	0.4163779793
80	0.4161107694
81	0.4158483802
82	0.4156136941
83	0.4153088718
84	0.4150581912
85	0.414827547
86	0.4145580443
87	0.4144051194
88	0.4141976188
89	0.4140119706
90	0.4137837059
91	0.4136019334
92	0.4134153981
93	0.4132180564
94	0.4129964432
95	0.4126646637
96	0.412502742
97	0.4123514662
98	0.4120755993
99	0.4119048377
100	0.4117531236
101	0.4114974052
102	0.4112226267
103	0.4110975053
104	0.4109887663
105	0.4108396017
106	0.4106386157
107	0.410346206
108	0.4101982595
109	0.4100116515
110	0.4098114954
111	0.4096567922
112	0.4094583091
113	0.409219801
114	0.4090664956
115	0.4088432086
116	0.4087284852
117	0.4085920041
118	0.4084923169
119	0.4083053454
120	0.4082221445
121	0.4079364547
122	0.4078449248
123	0.4076872781
124	0.4074636884
125	0.4072747887
126	0.4071057697
127	0.4069822867
128	0.4068367396
129	0.406599659
130	0.4064456328
131	0.4062570149
132	0.4060464272
133	0.4058311596
134	0.4056909927
135	0.4054659842
136	0.4053699365
137	0.4051278694
138	0.4048770847
139	0.4047071383
140	0.4045162444
141	0.4043193025
142	0.4042042124
143	0.4040766193
144	0.4039272852
145	0.4037909072
146	0.4036407811
147	0.4035303823
148	0.4034223275
149	0.4032979647
150	0.4031389767
151	0.4030259627
152	0.4028322153
153	0.4027441908
154	0.4026370793
155	0.4024486815
156	0.4023049803
157	0.402169686
158	0.4020772149
159	0.4019453226
160	0.4018363342
161	0.4017060102
162	0.4015234001
163	0.4013711629
164	0.4011807318
165	0.401045001
166	0.4009309153
167	0.400796771
168	0.4006794126
169	0.4005728732
170	0.4004027158
171	0.4003252492
172	0.4001826937
173	0.4000602542
174	0.3999032832
175	0.3997767896
176	0.3996450951
177	0.3995675149
178	0.399465168
179	0.3993410855
180	0.3992000303
181	0.3990501693
182	0.3989081575
183	0.3988322424
184	0.3986873434
185	0.3985406433
186	0.3984483233
187	0.3983255459
188	0.3982250906
189	0.3981260899
190	0.3979917415
191	0.3978750874
192	0.3977421754
193	0.3976352922
194	0.3975542027
195	0.3974495641
196	0.3973165408
197	0.3972045023
198	0.3971197534
199	0.3970139449
200	0.3969317924
201	0.3968228242
202	0.3967267056
203	0.3966146953
204	0.3965193275
205	0.3964381412
206	0.3963565172
207	0.3962255744
208	0.3961621209
209	0.3960319343
210	0.3958848435
211	0.3958000782
212	0.3956592679
213	0.3955952657
214	0.3954922041
215	0.3953859761
216	0.3953024756
217	0.3952304822
218	0.3951612351
219	0.3950933131
220	0.3949007412
221	0.3947662444
222	0.3946685165
223	0.3945516592
224	0.3944387378
225	0.394351695
226	0.394288817
227	0.3942058743
228	0.3941272399
229	0.3940493271
230	0.3939798297
231	0.3938570277
232	0.3937668895
233	0.3936286794
