iter	Passed	Remaining
0	7	14798
1	14	14961
2	22	14660
3	29	14601
4	36	14661
5	43	14462
6	51	14704
7	58	14508
8	66	14759
9	73	14720
10	82	14888
11	90	14920
12	98	15026
13	105	14899
14	113	14979
15	119	14869
16	128	14935
17	134	14839
18	142	14821
19	149	14805
20	156	14788
21	165	14857
22	172	14848
23	180	14894
24	188	14906
25	196	14923
26	203	14902
27	212	14938
28	219	14892
29	228	15025
30	235	14983
31	243	14974
32	253	15090
33	261	15126
34	268	15047
35	276	15072
36	283	15028
37	291	15035
38	298	15006
39	306	15012
40	312	14947
41	319	14908
42	327	14912
43	335	14893
44	343	14910
45	350	14891
46	358	14894
47	364	14841
48	373	14869
49	380	14836
50	389	14881
51	408	15298
52	415	15248
53	423	15262
54	430	15218
55	437	15187
56	445	15188
57	455	15234
58	462	15201
59	469	15171
60	476	15145
61	484	15146
62	490	15085
63	496	15031
64	505	15050
65	511	14995
66	519	14979
67	525	14934
68	533	14931
69	539	14888
70	546	14857
71	554	14845
72	560	14794
73	568	14785
74	574	14749
75	582	14750
76	589	14710
77	595	14679
78	603	14666
79	610	14657
80	617	14634
81	624	14600
82	632	14597
83	639	14582
84	646	14573
85	652	14526
86	660	14521
87	666	14478
88	672	14447
89	680	14436
90	686	14410
91	694	14399
92	701	14386
93	708	14364
94	714	14331
95	721	14300
96	728	14284
97	734	14254
98	741	14239
99	747	14207
100	754	14177
101	762	14180
102	769	14176
103	777	14174
104	784	14153
105	792	14153
106	798	14121
107	806	14127
108	813	14111
109	820	14101
110	828	14092
111	836	14102
112	843	14086
113	849	14062
114	858	14067
115	864	14043
116	874	14068
117	938	14976
118	947	14971
119	957	15001
120	968	15040
121	975	15022
122	982	14990
123	989	14969
124	996	14942
125	1006	14967
126	1018	15015
127	1026	15009
128	1036	15029
129	1043	15012
130	1051	15007
131	1058	14983
132	1066	14965
133	1073	14946
134	1080	14931
135	1087	14902
136	1093	14875
137	1101	14865
138	1108	14837
139	1116	14835
140	1122	14803
141	1130	14797
142	1137	14765
143	1144	14745
144	1151	14727
145	1157	14701
146	1165	14696
147	1172	14671
148	1180	14661
149	1186	14635
150	1196	14652
151	1203	14628
152	1210	14613
153	1219	14616
154	1226	14596
155	1233	14582
156	1242	14584
157	1250	14580
158	1259	14586
159	1270	14607
160	1282	14645
161	1289	14632
162	1297	14627
163	1306	14625
164	1314	14616
165	1320	14589
166	1328	14578
167	1335	14560
168	1343	14553
169	1349	14528
170	1358	14525
171	1364	14504
172	1372	14492
173	1379	14475
174	1387	14469
175	1393	14445
176	1400	14422
177	1407	14410
178	1416	14405
179	1423	14396
180	1432	14394
181	1442	14412
182	1450	14399
183	1457	14388
184	1464	14371
185	1472	14363
186	1479	14342
187	1486	14332
188	1493	14310
189	1500	14295
190	1507	14277
191	1513	14256
192	1521	14246
193	1528	14227
194	1536	14220
195	1542	14199
196	1549	14180
197	1556	14163
198	1562	14140
199	1570	14130
200	1576	14108
201	1584	14099
202	1590	14079
203	1598	14075
204	1605	14056
205	1613	14053
206	1621	14043
207	1629	14042
208	1637	14032
209	1643	14009
210	1651	13998
211	1657	13977
212	1665	13970
213	1671	13948
214	1678	13938
215	1685	13923
216	1692	13910
217	1700	13899
218	1707	13883
219	1715	13878
220	1722	13868
221	1731	13865
222	1738	13851
223	1747	13852
224	1754	13839
225	1763	13842
226	1769	13822
227	1777	13814
228	1783	13796
229	1790	13780
230	1797	13767
231	1804	13752
232	1812	13746
233	1819	13728
234	1828	13734
235	1836	13726
236	1844	13720
237	1851	13703
238	1858	13694
239	1865	13678
240	1873	13676
241	1879	13656
242	1886	13637
243	1893	13628
244	1900	13610
245	1907	13597
246	1914	13586
247	1921	13577
248	1929	13565
249	1936	13554
250	1943	13541
251	1949	13522
252	1957	13513
253	1963	13496
254	1971	13489
255	1977	13471
256	1984	13461
257	1991	13446
258	1999	13440
259	2007	13432
260	2013	13415
261	2021	13409
262	2029	13400
263	2055	13517
264	2075	13588
265	2089	13621
266	2098	13619
267	2109	13634
268	2121	13648
269	2130	13648
270	2139	13651
271	2146	13637
272	2153	13621
273	2159	13604
274	2167	13597
275	2173	13579
276	2181	13570
277	2188	13554
278	2197	13553
279	2204	13540
280	2211	13531
281	2219	13519
282	2227	13515
283	2235	13508
284	2242	13494
285	2250	13488
286	2258	13477
287	2265	13467
288	2272	13452
289	2279	13443
290	2286	13428
291	2293	13418
292	2300	13402
293	2308	13394
294	2315	13380
295	2321	13366
296	2329	13360
297	2336	13344
298	2344	13338
299	2351	13325
300	2359	13316
301	2365	13299
302	2372	13285
303	2379	13275
304	2386	13263
305	2394	13255
306	2401	13241
307	2409	13234
308	2417	13229
309	2427	13231
310	2434	13220
311	2442	13214
312	2449	13200
313	2457	13194
314	2463	13178
315	2471	13169
316	2477	13155
317	2485	13144
318	2492	13136
319	2498	13119
320	2508	13120
321	2514	13105
322	2522	13098
323	2529	13084
324	2537	13077
325	2544	13068
326	2553	13063
327	2559	13049
328	2568	13046
329	2575	13033
330	2583	13025
331	2590	13014
