median_home_value,zipcode
669000.0,11201
808600.0,10019
716100.0,10027
911500.0,94117
539400.0,20009
859700.0,94131
703200.0,90292
429100.0,90015
846400.0,94121
460600.0,91748
672800.0,10009
1000001.0,90254
838600.0,90277
539400.0,20009
340600.0,90804
412000.0,60622
412000.0,60622
398200.0,02127
535600.0,10002
480500.0,11226
506100.0,91401
391700.0,11212
429100.0,90015
506100.0,91401
539400.0,20009
387900.0,11411
873100.0,90046
297300.0,11374
593900.0,90028
759600.0,10016
615700.0,11225
945000.0,90036
992700.0,90291
873100.0,90046
551500.0,90026
391700.0,11212
1000001.0,94118
655500.0,11211
817700.0,10003
398200.0,02127
344300.0,60605
952100.0,90068
282600.0,90057
873100.0,90046
703200.0,90292
1000001.0,10021
562300.0,20037
817700.0,10003
464500.0,11237
551900.0,11233
230700.0,60608
650200.0,10001
916900.0,94127
740200.0,91403
635978.2940070337,11249
260200.0,10037
914500.0,10011
914500.0,10011
334900.0,10032
992700.0,90291
398200.0,02127
559000.0,91106
719700.0,94107
355500.0,20018
914500.0,10011
793200.0,90027
914500.0,10011
464200.0,91601
593900.0,90028
793200.0,90027
495300.0,20001
866100.0,10022
615300.0,91201
480500.0,11226
945000.0,90036
312200.0,90013
857000.0,11217
491100.0,91016
635978.2940070337,11249
369800.0,10031
947300.0,10014
464500.0,11237
654900.0,11101
635978.2940070337,9411
547800.0,94134
599100.0,91501
787000.0,10029
635978.2940070337,9023
600000.0,90039
543800.0,11221
223100.0,20019
333000.0,60647
615700.0,11225
655500.0,11211
495300.0,20001
635978.2940070337,2002
913200.0,11215
793200.0,90027
934600.0,10025
1000001.0,10013
635978.2940070337,1004
824000.0,91604
911500.0,94117
352300.0,10039
551500.0,90026
945000.0,90036
914500.0,10011
352300.0,10039
616300.0,10038
489300.0,60614
551900.0,11233
817700.0,10003
593900.0,90028
635978.2940070337,9411
428500.0,20002
726700.0,11219
460600.0,91748
787000.0,10029
934600.0,10025
726500.0,11222
382100.0,90042
1000001.0,94114
679400.0,20008
543800.0,11221
824000.0,91604
656800.0,11238
551900.0,11233
820700.0,20007
559000.0,91106
533400.0,11206
714000.0,91208
334900.0,10032
613000.0,11223
635978.2940070337,0213
479500.0,02114
628000.0,94103
633100.0,91107
507500.0,11355
635978.2940070337,1122
361600.0,91406
703200.0,90292
810300.0,10036
817700.0,10003
808600.0,10019
551500.0,90026
1000001.0,10024
776300.0,90004
543800.0,11221
334900.0,10032
1000001.0,10012
635978.2940070337,0213
580400.0,10044
533400.0,11206
703200.0,90292
872500.0,10023
1000001.0,10028
543800.0,11221
542600.0,20012
506100.0,91401
458300.0,91205
817700.0,10003
393100.0,02132
464400.0,60611
635978.2940070337,9411
655500.0,11211
386600.0,10473
872500.0,10023
635978.2940070337,11249
808600.0,10019
593900.0,90028
617300.0,90019
931200.0,94133
206800.0,60639
755300.0,91423
656800.0,11238
857000.0,11217
857000.0,11217
533400.0,11206
635978.2940070337,9411
312200.0,90013
582900.0,11232
464500.0,11237
213000.0,1001
535600.0,10002
395800.0,11377
635978.2940070337,1004
543800.0,11221
559000.0,91106
460600.0,91748
1000001.0,10005
460600.0,91748
623300.0,11216
808600.0,10019
776300.0,90004
489900.0,02129
491000.0,91803
965800.0,94115
755300.0,91423
1000001.0,10128
403800.0,11207
561100.0,02118
635978.2940070337,1004
582300.0,11213
965800.0,94115
535600.0,10002
776300.0,90004
913200.0,11215
524100.0,11229
904200.0,90064
655500.0,11211
635978.2940070337,11249
703200.0,90292
963400.0,90024
1000001.0,90265
361900.0,02134
656800.0,11238
1000001.0,94114
911500.0,94117
543800.0,11221
623300.0,11216
543800.0,11221
551500.0,90026
437500.0,10314
820700.0,20007
691500.0,02111
873100.0,90046
719700.0,94107
535600.0,10002
805300.0,10075
617300.0,90019
403800.0,11207
1000001.0,10128
672800.0,10009
339100.0,91605
628000.0,94103
1000001.0,90265
1000001.0,94114
872500.0,10023
283000.0,91331
464500.0,11237
495300.0,20001
327900.0,02119
913200.0,11215
535600.0,10002
394000.0,91384
495800.0,11385
1000001.0,10282
655500.0,11211
1000001.0,90405
464200.0,91601
635978.2940070337,2001
1000001.0,90265
672800.0,10009
